out_file,source,profile,case,thermal_weight,wirelength_weight,seed,is_legal,layout_json,benchmark,benchmark_fallback
multigpu_alpha_0p1_t0p03-w50_seed312945035.json,legal,alpha_0p1,multigpu,0p03,50,312945035,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p1-multigpu-t0p03-w50-table_profiles_5seed_20260917\seed_312945035\legalized\08_multigpu_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\multigpu.json,0
multigpu_alpha_0p1_t0p03-w50_seed731936390.json,legal,alpha_0p1,multigpu,0p03,50,731936390,false,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p1-multigpu-t0p03-w50-table_profiles_5seed_20260917\seed_731936390\legalized\08_multigpu_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\multigpu.json,0
syn1_alpha_0p1_t1-w50_seed1343216877.json,legal,alpha_0p1,syn1,1,50,1343216877,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p1-syn1-t1-w50-table_profiles_5seed_20260917\seed_1343216877\legalized\09_syn1_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\syn1.json,0
syn1_alpha_0p1_t1-w50_seed1619340970.json,legal,alpha_0p1,syn1,1,50,1619340970,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p1-syn1-t1-w50-table_profiles_5seed_20260917\seed_1619340970\legalized\09_syn1_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\syn1.json,0
syn1_alpha_0p1_t1-w50_seed1991307090.json,legal,alpha_0p1,syn1,1,50,1991307090,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p1-syn1-t1-w50-table_profiles_5seed_20260917\seed_1991307090\legalized\09_syn1_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\syn1.json,0
syn1_alpha_0p1_t1-w50_seed312945035.json,legal,alpha_0p1,syn1,1,50,312945035,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p1-syn1-t1-w50-table_profiles_5seed_20260917\seed_312945035\legalized\09_syn1_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\syn1.json,0
syn1_alpha_0p1_t1-w50_seed731936390.json,legal,alpha_0p1,syn1,1,50,731936390,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p1-syn1-t1-w50-table_profiles_5seed_20260917\seed_731936390\legalized\09_syn1_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\syn1.json,0
syn4_alpha_0p1_t10-w0_seed1343216877.json,legal,alpha_0p1,syn4,10,0,1343216877,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p1-syn4-t10-w0-table_profiles_5seed_20260917\seed_1343216877\legalized\10_syn4_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\syn4.json,0
syn4_alpha_0p1_t10-w0_seed1619340970.json,legal,alpha_0p1,syn4,10,0,1619340970,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p1-syn4-t10-w0-table_profiles_5seed_20260917\seed_1619340970\legalized\10_syn4_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\syn4.json,0
syn4_alpha_0p1_t10-w0_seed1991307090.json,legal,alpha_0p1,syn4,10,0,1991307090,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p1-syn4-t10-w0-table_profiles_5seed_20260917\seed_1991307090\legalized\10_syn4_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\syn4.json,0
syn4_alpha_0p1_t10-w0_seed312945035.json,legal,alpha_0p1,syn4,10,0,312945035,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p1-syn4-t10-w0-table_profiles_5seed_20260917\seed_312945035\legalized\10_syn4_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\syn4.json,0
syn4_alpha_0p1_t10-w0_seed731936390.json,legal,alpha_0p1,syn4,10,0,731936390,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p1-syn4-t10-w0-table_profiles_5seed_20260917\seed_731936390\legalized\10_syn4_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\syn4.json,0
xerox8_m_alpha_0p1_t100-w0p02_seed1343216877.json,legal,alpha_0p1,xerox8_m,100,0p02,1343216877,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p1-xerox8_m-t100-w0p02-table_profiles_5seed_20260917\seed_1343216877\legalized\11_xerox8_m_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\xerox8_m.json,0
xerox8_m_alpha_0p1_t100-w0p02_seed1619340970.json,legal,alpha_0p1,xerox8_m,100,0p02,1619340970,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p1-xerox8_m-t100-w0p02-table_profiles_5seed_20260917\seed_1619340970\legalized\11_xerox8_m_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\xerox8_m.json,0
xerox8_m_alpha_0p1_t100-w0p02_seed1991307090.json,legal,alpha_0p1,xerox8_m,100,0p02,1991307090,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p1-xerox8_m-t100-w0p02-table_profiles_5seed_20260917\seed_1991307090\legalized\11_xerox8_m_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\xerox8_m.json,0
xerox8_m_alpha_0p1_t100-w0p02_seed312945035.json,legal,alpha_0p1,xerox8_m,100,0p02,312945035,true,D:\WORK\96\flow_tap\LayoutGenModel\logs\output\cases_hubump\selected-alpha_0p1-xerox8_m-t100-w0p02-table_profiles_5seed_20260917\seed_312945035\legalized\11_xerox8_m_placement_legal.json,D:\WORK\96\flow_tap\benchmark\cases_hubump\xerox8_m.json,0
