case,seed,n_chiplets,n_connections,total_wirelength_mm,avg_wirelength_mm,avg_temp_C,max_temp_C,bbox_area_mm2,bbox_width_mm,bbox_height_mm,wirelength_time_s,thermal_time_s,error
Case6_alpha_0p9_t10-w2,1343216877,20,20,109056.977068,9.681905,85.188528,106.580000,2180.768632,46.923915,46.474567,3.460000,11.367000,
Case6_alpha_0p9_t10-w2,1619340970,20,20,185503.560048,16.468711,85.717446,103.990000,1950.609768,44.369812,43.962543,3.608000,10.384000,
Case6_alpha_0p9_t10-w2,1991307090,20,20,128918.925196,11.445217,83.833811,100.370000,2098.668580,43.998860,47.698249,3.257000,9.051000,
Case7_alpha_0p1_t10-w50,312945035,28,34,56273.837014,9.991803,73.105576,82.540000,444.031084,21.164723,20.979773,12.788000,13.500000,
Case7_alpha_0p1_t10-w50,731936390,28,34,52604.802440,9.340341,77.355432,91.480000,344.207307,18.175663,18.937813,12.869000,15.877000,
Case7_alpha_0p1_t10-w50,1343216877,28,34,29669.843948,5.268083,83.901604,104.430000,271.234621,16.447900,16.490532,11.463000,16.736000,
Case7_alpha_0p1_t10-w50,1619340970,28,34,37829.666124,6.716915,78.402190,88.440000,328.684819,18.327912,17.933566,12.440000,14.824000,
Case7_alpha_0p1_t10-w50,1991307090,28,34,158922.083786,28.217700,57.096282,70.900000,2279.226998,48.223168,47.264149,12.377000,7.312000,
Case7_alpha_0p9_t30-w2,312945035,28,34,37143.571446,6.595094,68.309612,80.590000,596.557765,23.357253,25.540579,11.538000,10.003000,
Case7_alpha_0p9_t30-w2,731936390,28,34,35221.377556,6.253796,70.789983,94.120000,454.240645,19.754263,22.994563,10.357000,12.846000,
Case7_alpha_0p9_t30-w2,1343216877,28,34,32519.318370,5.774027,73.160354,95.120000,449.780731,21.005192,21.412836,12.055000,13.842000,
Case7_alpha_0p9_t30-w2,1619340970,28,34,27417.603248,4.868182,72.130674,86.210000,490.193330,22.394972,21.888544,12.428000,12.117000,
Case7_alpha_0p9_t30-w2,1991307090,28,34,26488.115056,4.703145,69.972288,96.380000,411.076686,16.997441,24.184622,11.440000,11.333000,
Case8_alpha_0p1_t30-w2,312945035,36,42,29482.224958,5.000377,73.780295,84.740000,330.375056,16.579332,19.926922,23.172000,14.114000,
Case8_alpha_0p1_t30-w2,731936390,36,42,38619.587400,6.550134,70.632708,82.070000,326.244718,14.708962,22.179996,25.230000,13.449000,
Case8_alpha_0p1_t30-w2,1343216877,36,42,45076.740610,7.645309,72.707627,81.290000,413.630604,20.476645,20.200116,24.812000,12.425000,
Case8_alpha_0p1_t30-w2,1619340970,36,42,21347.422384,3.620662,75.352188,84.650000,321.814659,17.003062,18.926865,25.233000,13.919000,
Case8_alpha_0p1_t30-w2,1991307090,36,42,22970.650444,3.895972,73.226682,81.220000,394.728951,19.712424,20.024374,23.923000,14.078000,
Case8_alpha_0p9_t30-w2,312945035,36,42,40055.632368,6.793696,74.103816,83.130000,382.611938,19.537293,19.583672,23.675000,14.220000,
Case8_alpha_0p9_t30-w2,731936390,36,42,39809.877902,6.752015,73.116719,85.490000,288.272760,14.024172,20.555421,24.272000,13.396000,
Case8_alpha_0p9_t30-w2,1343216877,36,42,39020.676184,6.618161,72.681814,82.090000,399.838295,19.456341,20.550539,22.571000,13.650000,
Case8_alpha_0p9_t30-w2,1619340970,36,42,23942.051634,4.060728,71.114014,79.460000,442.446279,20.482616,21.601063,23.333000,13.911000,
Case8_alpha_0p9_t30-w2,1991307090,36,42,24667.198758,4.183718,72.575022,80.370000,408.914149,19.747418,20.707221,23.564000,13.181000,
Case9_alpha_0p1_t1-w2,312945035,44,43,117541.364982,7.676421,105.266199,137.770000,2704.204241,57.381729,47.126573,42.026000,10.820000,
Case9_alpha_0p1_t1-w2,731936390,44,43,129905.363802,8.483893,104.272458,132.350000,3181.727720,55.792413,57.027964,40.940000,10.836000,
