case,seed,n_chiplets,n_connections,total_wirelength_mm,avg_wirelength_mm,avg_temp_C,max_temp_C,bbox_area_mm2,bbox_width_mm,bbox_height_mm,wirelength_time_s,thermal_time_s,error
xerox6_m_t10-w50,1056634028,6,8,293254.458218,52.069329,54.347883,74.060000,4419.955622,58.298203,75.816327,0.137000,7.358000,
xerox6_m_t10-w50,1486441653,6,8,65088.609052,11.556926,64.532446,80.610000,1173.429098,32.469873,36.139011,0.156000,10.552000,
xerox6_m_t100-w0,946615675,6,8,65322.738572,11.598498,63.708706,76.450000,1332.705886,36.832450,36.182928,0.159000,10.303000,
xerox6_m_t100-w0,1056634028,6,8,85430.997840,15.168856,64.169490,76.940000,1234.629128,34.166499,36.135664,0.167000,10.718000,
xerox6_m_t100-w0,1486441653,6,8,108298.382660,19.229116,63.051079,78.540000,1435.355149,36.475645,39.351056,0.154000,9.986000,
xerox6_m_t100-w0p02,946615675,6,8,67995.419926,12.073050,62.774480,75.600000,1343.201426,34.162774,39.317692,0.159000,9.899000,
xerox6_m_t100-w0p02,1056634028,6,8,137381.312266,24.392989,63.237668,78.420000,1369.706551,36.629867,37.393162,0.152000,10.233000,
xerox6_m_t100-w0p02,1486441653,6,8,131420.062320,23.334528,63.212759,79.180000,1366.563639,34.943530,39.107773,0.172000,10.140000,
xerox6_m_t100-w0p2,946615675,6,8,57757.472954,10.255233,65.661218,78.590000,1111.308717,33.810341,32.868900,0.140000,11.149000,
xerox6_m_t100-w0p2,1056634028,6,8,102660.250976,18.228028,62.893333,78.310000,1394.807471,38.565030,36.167675,0.150000,10.222000,
xerox6_m_t100-w0p2,1486441653,6,8,73486.287546,13.047991,64.095479,79.210000,1007.826629,27.160682,37.106087,0.142000,10.586000,
xerox6_m_t100-w2,946615675,6,8,58570.187492,10.399536,67.951584,81.500000,875.303706,29.137153,30.040811,0.126000,8.997000,
xerox6_m_t100-w2,1056634028,6,8,49148.251082,8.726607,64.920325,80.070000,1060.052628,30.194507,35.107466,0.147000,10.868000,
xerox6_m_t100-w2,1486441653,6,8,67214.737448,11.934435,67.287974,80.660000,900.590149,29.393947,30.638626,0.124000,8.594000,
xerox6_m_t100-w50,946615675,6,8,57658.885836,10.237728,66.804814,81.590000,939.485525,29.222342,32.149563,0.136000,8.372000,
xerox6_m_t100-w50,1056634028,6,8,155708.316104,27.647073,57.759048,79.980000,1933.462517,59.062432,32.735911,0.119000,5.250000,
xerox6_m_t100-w50,1486441653,6,8,104284.688112,18.516457,59.423721,74.800000,1962.488541,39.412585,49.793449,0.130000,5.705000,
xerox6_m_t3-w0,946615675,6,8,65479.332422,11.626302,62.839575,76.450000,1378.344734,38.131294,36.147337,0.134000,10.355000,
xerox6_m_t3-w0,1056634028,6,8,97024.211006,17.227310,64.055657,77.600000,1244.770826,36.511850,34.092242,0.138000,7.474000,
xerox6_m_t3-w0,1486441653,6,8,105353.300602,18.706197,65.727905,80.760000,1103.446984,32.491810,33.960773,0.136000,11.066000,
xerox6_m_t3-w0p02,946615675,6,8,62568.224118,11.109415,62.894260,76.490000,1368.973913,37.878697,36.140998,0.133000,10.260000,
xerox6_m_t3-w0p02,1056634028,6,8,84439.815614,14.992865,63.377852,78.650000,1288.776697,33.349968,38.644016,0.133000,10.123000,
xerox6_m_t3-w0p02,1486441653,6,8,79530.949328,14.121262,64.446912,77.720000,1216.967322,33.678354,36.135000,0.137000,10.496000,
xerox6_m_t3-w0p2,946615675,6,8,59303.365812,10.529717,64.877861,81.250000,1099.954113,30.433082,36.143369,0.120000,10.644000,
xerox6_m_t3-w0p2,1056634028,6,8,99458.066542,17.659458,63.338562,78.530000,1251.492233,38.483771,32.520000,0.131000,10.440000,
xerox6_m_t3-w0p2,1486441653,6,8,78078.739460,13.863413,64.897148,78.580000,1019.270772,28.882087,35.290759,0.126000,10.761000,
xerox6_m_t3-w2,946615675,6,8,54794.957540,9.729218,66.558445,80.720000,875.308881,26.950452,32.478449,0.115000,11.444000,
xerox6_m_t3-w2,1056634028,6,8,51890.236956,9.213465,66.223630,80.950000,996.449083,30.390762,32.787894,0.117000,11.357000,
xerox6_m_t3-w2,1486441653,6,8,40700.693256,7.226686,66.243162,81.810000,1013.834664,30.829285,32.885442,0.139000,11.470000,
xerox6_m_t3-w50,946615675,6,8,119070.830810,21.141838,62.260332,75.630000,1433.077554,39.989010,35.836785,0.130000,6.923000,
xerox6_m_t3-w50,1056634028,6,8,41288.647344,7.331081,66.239304,80.410000,994.567864,30.336686,32.784328,0.123000,11.290000,
xerox6_m_t3-w50,1486441653,6,8,77211.276576,13.709389,63.788108,77.880000,1272.752286,36.579005,34.794612,0.111000,7.802000,
xerox6_m_t30-w0,946615675,6,8,65043.632634,11.548940,63.978132,76.410000,1299.436335,35.884692,36.211439,0.124000,7.486000,
xerox6_m_t30-w0,1056634028,6,8,137240.443894,24.367977,63.233899,78.430000,1370.758619,36.612877,37.439249,0.122000,7.321000,
xerox6_m_t30-w0,1486441653,6,8,107008.888786,19.000158,63.182517,78.630000,1421.036078,36.312148,39.133903,0.141000,7.242000,
xerox6_m_t30-w0p02,946615675,6,8,64408.713250,11.436206,63.126831,75.700000,1335.491587,38.010062,35.135212,0.120000,10.093000,
xerox6_m_t30-w0p02,1056634028,6,8,118922.603984,21.115519,64.386479,77.420000,1221.848538,34.997919,34.912034,0.117000,7.858000,
xerox6_m_t30-w0p02,1486441653,6,8,133638.293004,23.728390,63.273232,79.550000,1363.520371,34.868645,39.104484,0.129000,10.057000,
xerox6_m_t30-w0p2,946615675,6,8,71167.823986,12.636332,66.601826,80.150000,958.694322,31.814199,30.134165,0.127000,11.714000,
xerox6_m_t30-w0p2,1056634028,6,8,90079.397816,15.994211,63.209163,77.810000,1374.048568,35.614880,38.580744,0.135000,10.221000,
xerox6_m_t30-w0p2,1486441653,6,8,50298.558708,8.930852,65.459661,79.950000,1040.023074,30.145398,34.500227,0.119000,10.978000,
xerox6_m_t30-w2,946615675,6,8,51661.731194,9.172893,66.442991,81.270000,1012.621452,30.895351,32.775852,0.127000,11.219000,
xerox6_m_t30-w2,1056634028,6,8,51859.778914,9.208057,66.461064,82.360000,1055.764483,32.463641,32.521444,0.123000,11.385000,
xerox6_m_t30-w2,1486441653,6,8,47965.975326,8.516686,67.501995,80.980000,910.376187,30.335204,30.010551,0.126000,11.933000,
xerox6_m_t30-w50,946615675,6,8,227099.558772,40.323075,53.205901,73.940000,2082.174010,87.528357,23.788565,0.131000,7.024000,
xerox6_m_t30-w50,1056634028,6,8,201964.721922,35.860213,58.331948,76.460000,2721.838302,53.412845,50.958497,0.130000,8.271000,
xerox6_m_t30-w50,1486441653,6,8,67868.463072,12.050508,63.774919,78.360000,1181.355213,31.174240,37.895237,0.131000,10.394000,
xerox7_m_t0-w0,946615675,7,12,137484.934178,17.901684,64.495667,77.820000,1794.972878,42.600131,42.135384,0.258000,7.404000,
xerox7_m_t0-w0,1056634028,7,12,154588.674726,20.128734,65.642380,80.370000,1399.816184,41.147523,34.019452,0.268000,10.888000,
xerox7_m_t0-w0,1486441653,7,12,139035.784708,18.103618,64.666299,78.590000,1654.313924,37.890374,43.660533,0.262000,7.198000,
xerox7_m_t0-w0p02,946615675,7,12,123155.140684,16.035826,65.321511,80.330000,1563.255988,41.797210,37.400965,0.286000,7.580000,
xerox7_m_t0-w0p02,1056634028,7,12,155874.521188,20.296162,65.766304,80.320000,1333.462658,40.892576,32.608918,0.276000,7.823000,
xerox7_m_t0-w0p02,1486441653,7,12,132176.597856,17.210495,66.035286,78.800000,1497.788111,37.462192,39.981326,0.287000,8.189000,
xerox7_m_t0-w0p2,946615675,7,12,90006.661890,11.719617,66.263850,82.530000,1481.997647,39.342983,37.668665,0.295000,11.053000,
xerox7_m_t0-w0p2,1056634028,7,12,120653.379078,15.710075,65.861418,80.690000,1458.555518,40.583371,35.939733,0.285000,7.869000,
xerox7_m_t0-w0p2,1486441653,7,12,125101.221394,16.289222,65.860100,79.260000,1368.020899,40.294478,33.950580,0.284000,10.709000,
xerox7_m_t0-w2,946615675,7,12,90328.340820,11.761503,68.003271,81.000000,1233.921440,34.094106,36.191635,0.277000,11.170000,
xerox7_m_t0-w2,1056634028,7,12,111584.543568,14.529237,66.710181,81.040000,1419.246207,36.784007,38.583241,0.265000,10.923000,
xerox7_m_t0-w2,1486441653,7,12,91665.317994,11.935588,68.200037,82.350000,1210.367281,33.782252,35.828496,0.245000,11.731000,
xerox7_m_t0-w50,946615675,7,12,115515.154274,15.041036,65.234258,79.520000,1512.997909,35.863825,42.187299,0.266000,10.351000,
xerox7_m_t0-w50,1056634028,7,12,118598.934560,15.442570,67.284539,83.090000,1366.792658,36.199518,37.757206,0.265000,11.542000,
xerox7_m_t0-w50,1486441653,7,12,85971.349582,11.194186,68.172158,81.190000,1188.360379,33.175802,35.820095,0.272000,11.546000,
xerox7_m_t0p01-w0,946615675,7,12,142328.980472,18.532419,64.501963,78.010000,1788.586308,42.571054,42.014142,0.255000,10.467000,
xerox7_m_t0p01-w0,1056634028,7,12,154133.967614,20.069527,66.957878,80.270000,1371.498841,37.626395,36.450445,0.285000,11.250000,
xerox7_m_t0p01-w0,1486441653,7,12,138747.095718,18.066028,64.682168,78.550000,1650.896622,37.900406,43.558811,0.270000,10.429000,
xerox7_m_t0p01-w0p02,946615675,7,12,122925.465488,16.005920,65.230723,80.260000,1584.533545,42.066240,37.667582,0.254000,7.574000,
xerox7_m_t0p01-w0p02,1056634028,7,12,155704.811258,20.274064,65.736719,80.320000,1337.077902,40.987364,32.621710,0.244000,7.793000,
xerox7_m_t0p01-w0p02,1486441653,7,12,132800.889436,17.291782,65.908948,79.280000,1462.903658,36.615097,39.953565,0.242000,7.761000,
xerox7_m_t0p01-w0p2,946615675,7,12,98252.729938,12.793324,66.829548,79.850000,1397.724442,38.034439,36.748917,0.247000,8.331000,
xerox7_m_t0p01-w0p2,1056634028,7,12,103833.985552,13.520050,66.416848,79.970000,1477.213333,37.688617,39.195212,0.229000,7.993000,
xerox7_m_t0p01-w0p2,1486441653,7,12,132262.066822,17.221623,65.638645,78.600000,1377.932837,40.587849,33.949393,0.240000,7.752000,
