method,label,seed,total_wirelength_mm,bbox_area_mm2,max_temp_C,src
TW-FM,hp11_m_thermal30_wirelength0p02,121,277409.541856,1759.791581,94.760000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_thermal30_wirelength0p2,121,228719.600824,1667.075222,96.470000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_thermal30_wirelength2,121,162241.305468,1650.549406,99.670000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_thermal30_wirelength50,121,269501.718276,1851.105492,98.850000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_thermal3_wirelength0p02,121,252404.862674,1789.940877,91.670000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_thermal3_wirelength0p2,121,215485.593444,1485.160010,96.370000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_thermal3_wirelength2,121,189246.450996,1607.364537,97.180000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_thermal3_wirelength50,121,236722.178798,1745.248353,98.300000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_t0-w2,946615675,195423.308564,1711.100963,96.070000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_t0-w2,1056634028,145033.022566,1507.381690,102.550000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_t0-w2,1486441653,181578.272580,1465.267559,101.620000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_t0p01-w2,946615675,203992.736774,1678.549687,96.420000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_t0p01-w50,946615675,280843.460848,1873.404049,94.410000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_t0p01-w50,1056634028,203845.434858,1839.770303,93.450000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_t0p03-w0p02,946615675,182079.372192,1527.567606,95.850000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_t0p03-w0p02,1056634028,216078.224770,1452.933212,98.080000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_t0p03-w0p02,1486441653,210906.458130,1512.897124,100.060000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_t0p03-w2,946615675,191441.597780,1492.246309,96.990000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_t0p03-w2,1056634028,129471.371294,1380.918710,104.960000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_t0p03-w2,1486441653,127065.383128,1454.864521,104.170000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_t1-w2,946615675,161867.864428,1593.000222,104.300000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_t1-w2,1056634028,109402.008084,1478.104254,102.330000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_t10-w50,1056634028,229306.614392,1418.511575,94.610000,result_seed121_7case.csv seed 121
