method,case,pick,seed,n_chiplets,total_wirelength_mm,avg_wirelength_mm,avg_temp_C,max_temp_C,bbox_area_mm2
AT,multigpu,,4,6,78097.173884,11.298781,80.727729,100.05,2006.1319
AT,multigpu,,5,6,83549.497012,12.087601,79.826609,96.41,2227.131679
AT,syn1,,1,10,68450.333138,8.912804,76.201677,92.77,1612.555657
AT,syn1,,2,10,70249.913016,9.147124,75.977505,92.58,1664.35375
AT,syn1,,3,10,69938.420686,9.106565,76.580918,91.96,1536.618303
AT,syn1,,4,10,67660.33837,8.80994,76.257507,92.98,1609.697614
AT,syn1,,5,10,64822.851274,8.440475,76.641218,94.1,1522.092886
AT,syn4,,1,13,98444.783504,7.540195,77.465818,95.42,1086.087272
AT,syn4,,2,13,106864.184972,8.185063,76.68011,92.74,1278.042763
AT,syn4,,3,13,105171.53632,8.055418,76.583455,93.33,1165.998265
AT,syn4,,4,13,95423.326868,7.308772,77.453035,93.81,1199.61539
AT,syn4,,5,13,108352.847476,8.299085,76.48365,92.43,1119.433529
AT,xerox8_m,,1,8,98524.069448,9.868196,65.300327,81.24,2077.278803
AT,xerox8_m,,2,8,104877.021856,10.504509,67.186111,80.96,1700.383153
AT,xerox8_m,,3,8,101627.976288,10.179084,65.326689,80.94,1821.925903
AT,xerox8_m,,4,8,104784.425124,10.495235,67.932251,81.91,1653.642451
AT,xerox8_m,,5,8,112907.167932,11.308811,65.478,80.19,1897.370687
