case,seed,n_chiplets,n_connections,total_wirelength_mm,avg_wirelength_mm,avg_temp_C,max_temp_C,bbox_area_mm2,bbox_width_mm,bbox_height_mm,wirelength_time_s,thermal_time_s,error,case_src,srcs,pareto_layer
cpu-dram,99,8,8,168578.593936,16.462753,85.296753,104.940000,1160.044382,35.172401,32.981666,0.153000,9.597000,,cpu-dram,ours_50set.csv;result.csv,3
cpu-dram,121,8,8,130225.499744,12.717334,87.931057,110.220000,1080.523955,34.330381,31.474278,0.172000,8.833000,,cpu-dram_thermal0p01_wirelength0p02,ours_50set.csv;result.csv,3
cpu-dram,121,8,8,209415.203392,20.450703,95.156333,120.750000,879.294408,30.249981,29.067602,0.164000,9.927000,,cpu-dram_thermal1_wirelength50,result.csv,3
cpu-dram,72,8,8,185887.187356,18.153046,92.337844,117.990000,954.626624,29.926684,31.898844,0.234000,13.170000,,cpu-dram,result_old.csv,3
cpu-dram,64,8,8,205346.131692,20.053333,88.346191,110.010000,1003.477683,29.534503,33.976454,0.218000,11.798000,,cpu-dram,result_old.csv,3
hp11_m,83,11,22,236835.112188,20.558603,75.035212,96.560000,1464.495504,37.733531,38.811515,0.813000,8.386000,,hp11_m,ours_50set.csv;result.csv,1
hp11_m,94,11,22,242920.720560,21.086868,73.332229,91.650000,1594.042987,38.555569,41.344040,0.840000,8.273000,,hp11_m,ours_50set.csv;result.csv,1
hp11_m,115,11,22,304090.483146,26.396743,71.777163,88.500000,1731.200226,42.887852,40.365748,0.832000,7.747000,,hp11_m,ours_50set.csv;result.csv,1
hp11_m,118,11,22,227986.008120,19.790452,73.211506,90.890000,1751.622154,41.320928,42.390678,0.817000,7.838000,,hp11_m,ours_50set.csv;result.csv,1
hp11_m,61,11,22,197927.025940,17.181165,73.347725,93.690000,1617.469983,38.676031,41.820992,1.251000,11.156000,,hp11_m,ours_50set.csv;result_old.csv,1
hp11_m,63,11,22,174436.922592,15.142094,73.559119,97.720000,1633.016650,41.953005,38.924903,1.220000,11.085000,,hp11_m,ours_50set.csv;result_old.csv,1
hp11_m,65,11,22,183482.110814,15.927267,73.882732,94.880000,1660.488902,40.316995,41.185830,1.206000,11.204000,,hp11_m,ours_50set.csv;result_old.csv,1
hp11_m,68,11,22,259696.910176,22.543135,72.064490,88.650000,1775.010480,43.328085,40.966742,1.426000,10.712000,,hp11_m,ours_50set.csv;result_old.csv,1
hp11_m,73,11,22,196721.453564,17.076515,74.465488,94.390000,1547.744769,37.786339,40.960432,1.149000,11.619000,,hp11_m,ours_50set.csv;result_old.csv,1
hp11_m,121,11,22,216793.541896,18.818884,72.224312,91.840000,1822.484251,42.410000,42.972984,0.870000,8.046000,,hp11_m_thermal0_wirelength0,ours_50set.csv;result.csv,1
hp11_m,121,11,22,209965.085060,18.226136,73.125093,93.400000,1726.334324,41.833239,41.267049,0.878000,8.077000,,hp11_m_thermal0_wirelength0p02,ours_50set.csv;result.csv,1
hp11_m,121,11,22,156175.584888,13.556908,76.299465,101.350000,1495.092231,37.797664,39.555149,0.864000,8.457000,,hp11_m_thermal0_wirelength2,ours_50set.csv;result.csv,1
hp11_m,121,11,22,233390.552810,20.259597,75.772510,92.080000,1489.865846,38.512955,38.684797,0.864000,8.538000,,hp11_m_thermal0p01_wirelength50,ours_50set.csv;result.csv,1
hp11_m,121,11,22,286956.391294,24.909409,72.902920,91.460000,1712.783865,42.076120,40.706792,0.840000,7.970000,,hp11_m_thermal0p03_wirelength0,ours_50set.csv;result.csv,1
hp11_m,121,11,22,191074.184126,16.586301,73.373984,95.150000,1552.893332,35.698090,43.500740,0.859000,8.016000,,hp11_m_thermal0p03_wirelength0p02,ours_50set.csv;result.csv,1
hp11_m,121,11,22,209073.884786,18.148775,73.726125,93.450000,1703.814556,40.939398,41.617968,0.887000,8.090000,,hp11_m_thermal0p1_wirelength0,ours_50set.csv;result.csv,1
hp11_m,121,11,22,203765.284142,17.687959,75.987288,97.830000,1436.848490,37.134366,38.693228,0.901000,8.670000,,hp11_m_thermal0p1_wirelength2,ours_50set.csv;result.csv,1
hp11_m,121,11,22,206248.045610,17.903476,74.933540,94.650000,1486.818963,37.308084,39.852461,0.872000,8.411000,,hp11_m_thermal100_wirelength0p2,ours_50set.csv;result.csv,1
hp11_m,121,11,22,142071.993666,12.332638,76.442139,102.480000,1343.160565,33.380234,40.238201,0.858000,8.530000,,hp11_m_thermal1_wirelength2,ours_50set.csv;result.csv,1
hp11_m,121,11,22,215485.593444,18.705347,74.933574,96.370000,1485.160010,37.118505,40.011310,0.860000,8.136000,,hp11_m_thermal3_wirelength0p2,ours_50set.csv;result.csv,1
hp11_m,121,11,22,171942.704226,14.925582,73.813491,95.510000,1676.106709,41.983589,39.922902,0.871000,8.148000,,hp11_m_thermal0p03_wirelength2,ours_50set.csv;result.csv,1
hp11_m,121,11,22,189246.450996,16.427643,74.599861,97.180000,1607.364537,40.849263,39.348679,0.878000,8.233000,,hp11_m_thermal3_wirelength2,ours_50set.csv;result.csv,1
hp11_m,121,11,22,162241.305468,14.083447,74.990540,99.670000,1650.549406,41.160753,40.100078,0.882000,8.324000,,hp11_m_thermal30_wirelength2,ours_50set.csv;result.csv,1
hp11_m,64,11,22,237221.452514,20.592140,72.626345,91.000000,1764.768199,41.381471,42.646338,1.163000,10.813000,,hp11_m,ours_50set.csv;result_old.csv,2
hp11_m,85,11,22,205000.084912,17.795146,73.765708,94.770000,1691.033652,41.275009,40.969916,0.817000,7.981000,,hp11_m,ours_50set.csv;result.csv,2
hp11_m,121,11,22,198208.321646,17.205583,75.142253,97.920000,1551.113261,40.088357,38.692363,0.853000,8.507000,,hp11_m_thermal0_wirelength0p2,ours_50set.csv;result.csv,2
hp11_m,72,11,22,166739.100626,14.473880,74.888713,101.440000,1581.913285,41.207204,38.389241,1.182000,11.553000,,hp11_m,ours_50set.csv;result_old.csv,2
hp11_m,121,11,22,233927.002830,20.306163,72.907253,92.530000,1732.606154,42.404768,40.858758,0.883000,7.998000,,hp11_m_thermal0p3_wirelength0p02,ours_50set.csv;result.csv,2
hp11_m,69,11,22,203413.336070,17.657408,73.925430,95.820000,1652.143437,39.010231,42.351542,1.280000,11.147000,,hp11_m,ours_50set.csv;result_old.csv,2
hp11_m,121,11,22,222399.215456,19.305487,73.531902,94.480000,1704.067124,42.301913,40.283453,0.890000,8.099000,,hp11_m_thermal0p01_wirelength0p02,ours_50set.csv;result.csv,2
hp11_m,67,11,22,229339.616508,19.907953,74.383132,95.590000,1539.165217,38.534874,39.942137,1.363000,11.278000,,hp11_m,ours_50set.csv;result_old.csv,2
hp11_m,70,11,22,208170.973454,18.070397,75.013921,95.570000,1575.184789,39.487359,39.890862,1.247000,11.156000,,hp11_m,ours_50set.csv;result_old.csv,2
hp11_m,121,11,22,214923.329204,18.656539,75.155146,95.960000,1548.727125,38.933585,39.778693,0.873000,8.270000,,hp11_m_thermal10_wirelength0p02,ours_50set.csv;result.csv,2
hp11_m,121,11,22,234679.029648,20.371444,73.208342,94.960000,1673.128572,42.885040,39.014271,0.841000,7.986000,,hp11_m_thermal10_wirelength0p2,ours_50set.csv;result.csv,2
hp11_m,66,11,22,190165.038682,16.507382,73.594565,97.760000,1631.173305,37.532609,43.460163,1.258000,11.044000,,hp11_m,ours_50set.csv;result_old.csv,2
