case,candidate,seed,thermal_weight,wirelength_weight,legalization_status,is_legal,legal_report,source,eval_input,eval_stem
syn4,48,121,100,0.2,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t100-w0p2/seed_121/legalized/10_syn4_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t100-w0p2/seed_121/legalized/10_syn4_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/syn4_thermal100_wirelength0p2_seed121.json,syn4_thermal100_wirelength0p2_seed121
syn4,50,121,100,50,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t100-w50/seed_121/legalized/10_syn4_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t100-w50/seed_121/legalized/10_syn4_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/syn4_thermal100_wirelength50_seed121.json,syn4_thermal100_wirelength50_seed121
xerox8_m,1,121,0,0,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0-w0/seed_121/legalized/11_xerox8_m_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0-w0/seed_121/legalized/11_xerox8_m_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/xerox8_m_thermal0_wirelength0_seed121.json,xerox8_m_thermal0_wirelength0_seed121
xerox8_m,2,121,0,0.02,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0-w0p02/seed_121/legalized/11_xerox8_m_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0-w0p02/seed_121/legalized/11_xerox8_m_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/xerox8_m_thermal0_wirelength0p02_seed121.json,xerox8_m_thermal0_wirelength0p02_seed121
xerox8_m,3,121,0,0.2,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0-w0p2/seed_121/legalized/11_xerox8_m_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0-w0p2/seed_121/legalized/11_xerox8_m_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/xerox8_m_thermal0_wirelength0p2_seed121.json,xerox8_m_thermal0_wirelength0p2_seed121
xerox8_m,6,121,0.01,0,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0p01-w0/seed_121/legalized/11_xerox8_m_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0p01-w0/seed_121/legalized/11_xerox8_m_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/xerox8_m_thermal0p01_wirelength0_seed121.json,xerox8_m_thermal0p01_wirelength0_seed121
xerox8_m,7,121,0.01,0.02,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0p01-w0p02/seed_121/legalized/11_xerox8_m_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0p01-w0p02/seed_121/legalized/11_xerox8_m_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/xerox8_m_thermal0p01_wirelength0p02_seed121.json,xerox8_m_thermal0p01_wirelength0p02_seed121
xerox8_m,8,121,0.01,0.2,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0p01-w0p2/seed_121/legalized/11_xerox8_m_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0p01-w0p2/seed_121/legalized/11_xerox8_m_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/xerox8_m_thermal0p01_wirelength0p2_seed121.json,xerox8_m_thermal0p01_wirelength0p2_seed121
xerox8_m,10,121,0.01,50,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0p01-w50/seed_121/legalized/11_xerox8_m_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0p01-w50/seed_121/legalized/11_xerox8_m_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/xerox8_m_thermal0p01_wirelength50_seed121.json,xerox8_m_thermal0p01_wirelength50_seed121
xerox8_m,11,121,0.03,0,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0p03-w0/seed_121/legalized/11_xerox8_m_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0p03-w0/seed_121/legalized/11_xerox8_m_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/xerox8_m_thermal0p03_wirelength0_seed121.json,xerox8_m_thermal0p03_wirelength0_seed121
xerox8_m,12,121,0.03,0.02,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0p03-w0p02/seed_121/legalized/11_xerox8_m_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0p03-w0p02/seed_121/legalized/11_xerox8_m_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/xerox8_m_thermal0p03_wirelength0p02_seed121.json,xerox8_m_thermal0p03_wirelength0p02_seed121
xerox8_m,13,121,0.03,0.2,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0p03-w0p2/seed_121/legalized/11_xerox8_m_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0p03-w0p2/seed_121/legalized/11_xerox8_m_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/xerox8_m_thermal0p03_wirelength0p2_seed121.json,xerox8_m_thermal0p03_wirelength0p2_seed121
xerox8_m,16,121,0.1,0,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0p1-w0/seed_121/legalized/11_xerox8_m_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0p1-w0/seed_121/legalized/11_xerox8_m_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/xerox8_m_thermal0p1_wirelength0_seed121.json,xerox8_m_thermal0p1_wirelength0_seed121
xerox8_m,17,121,0.1,0.02,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0p1-w0p02/seed_121/legalized/11_xerox8_m_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0p1-w0p02/seed_121/legalized/11_xerox8_m_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/xerox8_m_thermal0p1_wirelength0p02_seed121.json,xerox8_m_thermal0p1_wirelength0p02_seed121
xerox8_m,18,121,0.1,0.2,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0p1-w0p2/seed_121/legalized/11_xerox8_m_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0p1-w0p2/seed_121/legalized/11_xerox8_m_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/xerox8_m_thermal0p1_wirelength0p2_seed121.json,xerox8_m_thermal0p1_wirelength0p2_seed121
xerox8_m,20,121,0.1,50,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0p1-w50/seed_121/legalized/11_xerox8_m_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0p1-w50/seed_121/legalized/11_xerox8_m_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/xerox8_m_thermal0p1_wirelength50_seed121.json,xerox8_m_thermal0p1_wirelength50_seed121
xerox8_m,21,121,0.3,0,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0p3-w0/seed_121/legalized/11_xerox8_m_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0p3-w0/seed_121/legalized/11_xerox8_m_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/xerox8_m_thermal0p3_wirelength0_seed121.json,xerox8_m_thermal0p3_wirelength0_seed121
xerox8_m,22,121,0.3,0.02,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0p3-w0p02/seed_121/legalized/11_xerox8_m_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0p3-w0p02/seed_121/legalized/11_xerox8_m_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/xerox8_m_thermal0p3_wirelength0p02_seed121.json,xerox8_m_thermal0p3_wirelength0p02_seed121
xerox8_m,23,121,0.3,0.2,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0p3-w0p2/seed_121/legalized/11_xerox8_m_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-xerox8_m-t0p3-w0p2/seed_121/legalized/11_xerox8_m_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/xerox8_m_thermal0p3_wirelength0p2_seed121.json,xerox8_m_thermal0p3_wirelength0p2_seed121
